App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel,Gesamt Nutzer
,,d33d8e47-7aae-4f4a-a629-a9c53f826c13,,,,,9,4,13,0,0,2,9,11,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c921c27c-57af-43a2-b843-5651a0b66092,,,,,12,17,29,0,0,4,3,7,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0ccce633-f33b-47df-bfbf-abe8abaf43d8,,,,,3,15,18,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33ac76da-80e0-4156-9cc1-2716fe7e72d3,,,,,18,27,45,0,0,43,-2,41,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d286a1a3-1205-4637-93ce-b3fd5bd71e65,,,,,39,105,144,0,0,22,-2,20,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f5c8e0e0-6d05-4b6d-aa29-2c0863db708e,,,,,8,3,11,0,0,6,3,9,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11d81dae-d650-40ee-84b3-59a7c891e93f,,,,,5,20,25,0,0,58,24,82,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0eb2cb84-790d-46cf-8d14-be3c61909928,,,,,35,29,64,0,0,8,5,13,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b58f0ef7-fe9a-4958-bff9-65604307e987,,,,,10,10,20,0,0,4,10,14,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46912329-753c-40d0-831a-13ab809014d0,,,,,15,8,23,0,0,6,0,6,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fab69cff-3de9-4627-a849-1909fef270d3,,,,,18,41,59,0,0,6,4,10,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,e1eed9f2-cb52-4909-8681-5c01f7e394cb,,,,,41,9,50,0,0,6,5,11,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,c13d8509-d1b5-49e9-945e-13902e489dd1,,,,,25,1,26,0,0,7,0,7,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79ca9e20-c099-4fa1-b531-cdeff9c8c4d4,,,,,12,24,36,0,0,6,0,6,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f28b6135-1db2-413c-995d-4766e7f694fe,,,,,6,9,15,0,0,5,-3,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3ddd6e8d-e8cc-432d-b232-612fb294507d,,,,,13,5,18,0,0,4,-2,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,aa9abc57-0463-47a0-b5fa-bff4b11bd467,,,,,10,3,13,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,effee7cd-ed68-4cec-a5fb-ebec0e608598,,,,,1,8,9,0,0,0,4,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4451de21-92f7-482b-8a57-456a56d258a0,,,,,16,20,36,0,0,4,-2,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fa1849e1-4878-4991-ad6d-e4eb1a3ef597,,,,,0,0,0,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b9bcefd1-a2d8-4cc5-a0d2-e66e7c11d6c2,,,,,7,12,19,0,0,4,6,10,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,e6a79724-3114-47e7-90d3-71c96caeae47,,,,,4,27,31,0,0,7,4,11,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
